GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mgcss-track-grupo4,com.mgcss.infrastructure,SqlSolicitudRepository,4,128,2,6,0,36,2,7,0,5
mgcss-track-grupo4,com.mgcss.infrastructure.persistence,SolicitudEntity,0,45,0,0,0,20,0,13,0,13
mgcss-track-grupo4,com.mgcss.infrastructure.persistence,TecnicoEntity,0,31,0,0,0,14,0,9,0,9
mgcss-track-grupo4,com.mgcss.domain,Solicitud,8,107,4,10,1,36,4,16,1,12
mgcss-track-grupo4,com.mgcss.domain,Tecnico,0,71,0,4,0,29,0,13,0,11
mgcss-track-grupo4,com.mgcss.domain,Solicitud.Estado,0,21,0,0,0,2,0,1,0,1
mgcss-track-grupo4,com.mgcss.domain,Tecnico.Especialidad,0,21,0,0,0,1,0,1,0,1
mgcss-track-grupo4,com.mgcss.service,SolicitudService,0,54,0,2,0,13,0,5,0,4
mgcss-track-grupo4,com.mgcss.service,TecnicoService,0,32,0,4,0,11,0,4,0,2
mgcss-track-grupo4,com.mgcss,MgcssTrackGrupo4Application,5,3,0,0,2,1,1,1,1,1
